Nº de Socio,Fecha Alta,Fecha Baja,NIF,Nombre,Apellidos,Direccion,Poblacion,Código Postal,Provincia,Telefono,ACTIVIDAD,PASSWORD
362,8/10/2013,,34t234324,SANDRA,GARCIA RODRIGUEZ,SANTO TOMAS,PUENTE CASTRO,24005,LEON,,APARATOS,Tomas
647,1/1/2013,,3245234523,RAFAEL,NIETO LEONE,MOISES DE LEON,LEON,24006,LEON,,APARATOS,RAFAEL
971,1/1/2013,,3245234,SERGIO,ALVAREZ ALVAREZ,MOISES DE LEON,LEON,24006,LEON,,APARATOS,RAFAEL
984,1/1/2013,,345235,MIGUEL ANGEL,ANDRES FERRERAS,VIDRIEROS ,LEON,24006,LEON,,APARATOS,RAFAEL
985,1/1/2013,,23452345,PEDRO,ANDRES FERRERAS,LOS VIDRIEROS ,LEON,24006,LEON,,APARATOS,RAFAEL
989,1/1/2013,,3452345,JORGE,DE LA TORRE BLANCO,PENDON DE BAEZA,LEON,24006,LEON,,APARATOS,RAFAEL
990,1/1/2013,,23452345,ISRAEL,DIEZ VILLA,MOISES DE LEON N,LEON,24006,LEON,,YOGA,RAFAEL
998,1/1/2013,,23452345,ANGELES,FERNANDEZ ALVAREZ,JOSE AGUADO,LEON,24005,LEON,,YOGA,RAFAEL
999,1/1/2013,,23452345,SERGIO,FERNANDEZ ALVAREZ,C/DO,LEON,24006,LEON,,YOGA,RAFAEL
1000,1/1/2013,,234523,ANA ISABEL,FERNANDEZ GONZALEZ,SANTOS OLIVEIRA,LEON,24005,LEON,,YOGA,RAFAEL
1001,1/1/2013,,52352345,CONRADO,FERNANDEZ GONZALEZ,MOISES DE LEON,LEON,24006,LEON,,YOGA,RAFAEL
1009,1/1/2013,,3245234523,RUBEN,GARCIA GARCIA,GRANADOS N,LEON,24006,LEON,,PILATES,RAFAEL
1010,1/1/2013,,23453,JULIA,GARCIA GARCIA,,LEON,24006,LEON,,PILATES,RAFAEL
1011,1/1/2013,,45325235342,DANIEL,GARCIA GARCIA,DAOIZ Y VELARDE N,LEON,24006,LEON,,PILATES,RAFAEL
1012,1/1/2013,,4523523,LOLA,GARCIA GARCIA,8 DE marzo,LEON,24006,LEON,,PILATES,RAFAEL
1014,1/1/2013,,23452345,NOE,GARCIA GONZALEZ,2 DE mayo,VALENCIA DE DON JUAN,24200,LEON,,PILATES,RAFAEL
1015,1/1/2013,,45234523,CARLOS,GARCIA GONZALEZ,LA FUENTE 10 QUINTANILLA DE SOLLAMAS,LEON,24271,LEON,,PILATES,RAFAEL
1016,1/1/2013,,23452345,MARIA LUISA,GARCIA GONZALEZ,LEOPOLDO ,LEON,24006,LEON,,GIMNASIA 3,RAFAEL
1017,1/1/2013,,2345345,AMELIA,GARCIA GONZALEZ,SANTO TORIBIO DE MOGROBEJO ,LEON,24006,LEON,,GIMNASIA 3,RAFAEL
1018,1/1/2013,,2345234,SERGIO,GARCIA GONZALEZ,SAN RAFAEL,LEON,24007,LEON,,GIMNASIA 3,RAFAEL
1019,1/1/2013,,3425345,ADRIAN,GARCIA GONZALEZ,CONSTANTINA GANCEDO N,LEON,24006,LEON,,GIMNASIA 3,RAFAEL
1020,1/1/2013,,2345,MARIO,GARCIA GONZALEZ,MOISES DE LEON N,LEON,24006,LEON,,KARATE 1,RAFAEL
1021,1/1/2013,,23452,PRIMITIVO,GARCIA MARTIN,MOISES DE LEON N,LEON,24006,LEON,,KARATE 2,RAFAEL
1023,1/1/2013,,23452345,DOGRIM,GEORGIEV ANGELOV,ALCALDE MIGUEL CASTA,LEON,24006,LEON,,KARATE 3,RAFAEL
1024,1/1/2013,,23452345,TODOR,GEORGIEV ANGELOV,ALCALDE MIGUEL CASTA,LEON,24006,LEON,,KARATE 4,RAFAEL
1025,1/1/2013,,2345245,RAUL,GETINO DIEZ,PLAZA CORTES LEONESAS,LEON,24003,LEON,,KARATE ADULTOS,RAFAEL
1026,1/1/2013,,23452345,JULIA,GETINO DIEZ,CORTES LEONESAS N,LEON,24006,LEON,,KARATE COMPETICION,RAFAEL
